px,py,pz,vx,vy,vz,roll,pitch,yaw,wx,wy,wz
2.6510534392795208e-05,5.58213094893334e-08,0.07912030413156536,-0.001995974711121839,3.94692830253478e-11,-0.09089147040721106,1.1976601721883657e-11,0.00033133684512122696,2.637508605914817e-08,1.6950671128677053e-09,-0.025312888744583952,1.5911629057372174e-09
6.154842976764858e-11,5.633345809112262e-08,0.08000000437598125,2.266989375192107e-09,3.8550385119208627e-10,0.009999998950846314,-6.645913422027074e-11,4.811711616884975e-10,2.0051246619658826e-10,-5.823075928659079e-09,2.648371495131138e-08,1.3231891008258006e-09
7.923509260621006e-11,5.6337925048693334e-08,0.07912000440262851,1.8354356691266712e-09,4.5280697451907603e-10,-0.08799999733527321,-6.94456581465549e-11,7.587430365516659e-10,1.6049780474130865e-10,-2.986523910045162e-10,2.775718748537241e-08,-4.001466143648637e-09
4.977425824883341e-11,5.633689136154112e-08,0.07999999998505711,2.3331097465054447e-09,4.739545362957181e-10,0.00999999896670746,-8.059334964442169e-11,4.3715655947430976e-10,1.2828445106976096e-10,-8.34138395111327e-09,3.388591200409355e-08,-3.221335287097097e-09
-6.700756155839334e-05,5.633181753294125e-08,0.07995812025897994,-0.00670426660633296,-5.06777028503898e-10,-0.004182358609341991,1.6450384455232557e-11,-0.0008375946180043868,1.0300242832247158e-10,9.703316651423925e-09,-0.08375951042149424,-2.5305895678897092e-09
-7.383283979706038e-05,5.633241245380404e-08,0.08004610950609899,-0.0006744073056893476,5.939867913493659e-11,0.00879955085411276,-6.2015782603430625e-12,-0.0009228659566774346,8.27284856293305e-11,-2.265790206029306e-09,-0.008527133864939548,-2.027350888121889e-09
-8.133671294083824e-05,4.722643502061303e-08,0.07990908487960433,-0.0007639584963869919,-6.551771522260138e-07,-0.01370171272495918,-1.8641384740836432e-05,-0.000990446216281267,2.2557781585366277e-09,-0.001864137646093696,-0.00675802596498069,1.5431536598835737e-07
-6.396559833445394e-05,-1.4452114975414102e-06,0.0800386500372883,0.0014359840910842447,-1.6531424244315672e-08,0.00910777158283164,-1.1200472222044798e-11,-0.0007734414919324813,-1.824215067234488e-08,-2.272843922124239e-09,0.01785070224196725,-3.341071849619693e-07
-5.058798763459591e-05,-1.4584498362925883e-06,0.08024981230859704,0.0013498528036036531,-1.920971741509952e-06,0.021115457570085382,-2.8281184188539623e-05,-0.0005726379768161328,-2.4129167828576646e-08,-0.002828117695214848,0.020080351587432845,-3.047534119924354e-07
-3.794588603527886e-05,-1.4580800377769604e-06,0.08062302756865718,0.0012772005328597316,-3.2375592726041808e-06,0.03732108357302182,-8.7741036520335e-05,-0.0003480685588890413,-4.069011169048845e-08,-0.005945985997319798,0.02245694195529641,-3.5334208521282884e-07
-2.5823490612091643e-05,-1.3819732221819528e-06,0.0811801647051973,0.0012157671448939761,-2.4539715037020626e-06,0.055713637253181916,-0.00018065154117244097,-6.33166488557825e-05,-8.361070736820063e-08,-0.009291051354739155,0.028475191546036605,-4.7079451114655433e-07
-1.3899865665317883e-05,-1.1296622288719867e-06,0.08192929703682741,0.0011722421517086933,2.0960018798938176e-06,0.07491355492704521,-0.00030882665407565724,0.00026858133103610575,-1.7158727244200886e-07,-0.012817510404946959,0.03318979952116328,-6.748151164193787e-07
-1.7952014287111933e-06,-5.583427918349605e-07,0.08287836066490815,0.001149556842029211,1.2235089071577771e-05,0.09490713652749734,-0.000473065091067605,0.000641783290985155,-3.2674064371212826e-07,-0.016423836673806265,0.03732019976757424,-9.251582218043052e-07
1.0925286715288511e-05,5.151613472936793e-07,0.08402825595759995,0.0011517739013768922,2.9676467147435652e-05,0.11499084315732458,-0.0006754856218497332,0.0010459576682111428,-5.51672561434748e-07,-0.02024203416599057,0.04041744473241559,7.175569855192419e-07
2.4732126555205632e-05,2.318207344955954e-06,0.0853776808423686,0.0011814838740849603,5.655752099800061e-05,0.13494448818474686,-0.000917031330529247,0.0014761734646966398,-8.71781157243656e-07,-0.02415453061760796,0.04302159247632611,2.2454696586556075e-06
4.0127486058962e-05,5.124303552453788e-06,0.08692572308744985,0.0012407900465214025,9.51647070823843e-05,0.15480713233569826,-0.001197923187063461,0.0019298107271811789,-1.3166601215033414e-06,-0.02808911007560554,0.04536374915447723,3.4832926139035745e-06
