thrust,tau_x,tau_y,tau_z,arm_time
9.863687515258789,-0.00975819956511259,0.009766941890120506,0.0,919.5092163085938
9.912086486816406,-0.010387776419520378,-0.019127976149320602,0.0,905.6490478515625
9.873686790466309,-0.011016937904059887,0.019350513815879822,0.0,904.3590698242188
10.210264205932617,-0.01164621114730835,0.020154785364866257,0.0,905.1090698242188
9.864447593688965,-0.012274456210434437,0.012291082181036472,0.0,905.1690673828125
10.103931427001953,-0.012604622170329094,0.013337459415197372,0.0,904.3590698242188
9.864903450012207,-0.013531274162232876,0.0135521674528718,0.0,904.7490234375
9.900986671447754,-0.014159056358039379,0.010119033977389336,0.0,904.9590454101562
9.89531135559082,-0.01478654332458973,0.01468684896826744,0.0,904.2090454101562
9.900285720825195,-0.015413355082273483,0.01695931702852249,0.0,903.9690551757812
9.923702239990234,-0.014839841052889824,0.01668708398938179,0.0,904.6590576171875
9.877771377563477,-0.017914121970534325,0.018565775826573372,0.0,904.7190551757812
9.896328926086426,-0.0172223299741745,0.018288450315594673,0.0,905.0790405273438
9.914474487304688,-0.01644512079656124,0.01784198358654976,0.0,904.26904296875
9.891525268554688,-0.02029966004192829,0.01798175275325775,0.0,905.3490600585938
9.909147262573242,-0.019451875239610672,0.01737915724515915,0.0,904.4790649414062
9.893487930297852,-0.019608402624726295,0.02033865451812744,0.0,904.3290405273438
9.910839080810547,-0.018668700009584427,0.019709525629878044,0.0,905.2890625
9.894155502319336,-0.022394612431526184,0.022765906527638435,2.7220341507927515e-05,904.3590698242188
9.911515235900879,-0.021281691268086433,0.022163528949022293,2.728166691667866e-05,905.589111328125
9.895346641540527,-0.02320440113544464,0.022557955235242844,0.0,904.9290771484375
9.91272258758545,-0.02206055074930191,0.02181311324238777,0.0,904.5690307617188
9.895292282104492,-0.024468982592225075,0.02475648745894432,0.0,904.2990112304688
9.912615776062012,-0.023145323619246483,0.023878948763012886,0.0,904.509033203125
9.897290229797363,-0.025874808430671692,0.025487875565886497,0.0,904.1190795898438
9.914664268493652,-0.024453064426779747,0.02455969713628292,0.0,904.5990600585938
9.897074699401855,-0.027052612975239754,0.027188776060938835,0.0,904.6890258789062
9.914438247680664,-0.025518227368593216,0.026155808940529823,0.0,904.1490478515625
9.899259567260742,-0.028463909402489662,0.028121329843997955,0.0,903.8489990234375
9.916627883911133,-0.026804301887750626,0.027012724429368973,0.0,904.7190551757812
9.899116516113281,-0.02965499833226204,0.029675785452127457,0.0,904.8990478515625
9.91647720336914,-0.027893664315342903,0.028465386480093002,0.0,904.4490356445312
9.901333808898926,-0.030778083950281143,0.030812891200184822,0.0,904.8990478515625
9.91868782043457,-0.028887895867228508,0.029527027159929276,0.0,904.4490356445312
9.901179313659668,-0.031989291310310364,0.03203188627958298,0.0,904.2990112304688
9.918525695800781,-0.029981909319758415,0.030650094151496887,1.0198580639553256e-05,904.989013671875
9.903116226196289,-0.03271484375,0.032859377562999725,0.0,905.0790405273438
9.92044448852539,-0.03060494363307953,0.031379103660583496,0.0,905.4090576171875
9.902765274047852,-0.03352664038538933,0.03373881056904793,1.1087186976510566e-05,905.589111328125
9.91222095489502,-0.03263307362794876,0.03314518928527832,0.0,904.5990600585938
9.929766654968262,-0.030264345929026604,0.03148766979575157,0.0,904.7490234375
9.895465850830078,-0.03526832535862923,0.03545045107603073,2.4708973796805367e-05,904.8090209960938
9.912711143493652,-0.03287304565310478,0.03375420346856117,2.6380988856544718e-05,905.4690551757812
9.930251121520996,-0.030377574265003204,0.031976278871297836,2.8007898436044343e-05,905.1990356445312
9.89612102508545,-0.03555237129330635,0.03600115329027176,2.4032286091824062e-05,904.8690795898438
9.913352966308594,-0.03302253037691116,0.03419777750968933,2.6137377062696032e-05,905.1390380859375
9.93087387084961,-0.030419547110795975,0.0323324128985405,2.7117206627735868e-05,904.5690307617188
9.89667797088623,-0.03552711755037308,0.03625497967004776,2.72566539933905e-05,904.4790649414062
9.913893699645996,-0.03293247148394585,0.03436011075973511,2.8973181542824022e-05,905.01904296875
9.931403160095215,-0.03027108684182167,0.032409485429525375,2.9823768272763118e-05,904.9590454101562
9.897100448608398,-0.03518364578485489,0.036232840269804,3.358647154527716e-05,904.5990600585938
9.914063453674316,-0.03264966234564781,0.03436022996902466,3.454376928857528e-05,904.989013671875
9.931533813476562,-0.029912324622273445,0.03234506770968437,3.615997775341384e-05,904.5990600585938
9.898126602172852,-0.03458257019519806,0.03594323247671127,4.938156416756101e-05,905.4690551757812
9.915576934814453,-0.03181099146604538,0.033877406269311905,5.055537258158438e-05,904.8090209960938
9.91415786743164,-0.031987763941287994,0.03400754928588867,3.2400679629063234e-05,905.76904296875
9.931374549865723,-0.02932106889784336,0.03199082240462303,3.380078123882413e-05,904.8090209960938
9.899030685424805,-0.03339817747473717,0.0352044478058815,8.185274782590568e-05,904.6590576171875
9.916281700134277,-0.030663462355732918,0.033125776797533035,8.274881110992283e-05,904.4190673828125
9.914215087890625,-0.030804041773080826,0.03319352865219116,7.832530536688864e-05,904.7190551757812
9.931401252746582,-0.0281495563685894,0.03111683577299118,7.98142864368856e-05,904.8690795898438
9.899728775024414,-0.032002005726099014,0.03415127471089363,0.00013815179408993572,905.4090576171875
9.916964530944824,-0.029271094128489494,0.03204866126179695,0.0001381894398946315,904.779052734375
9.914255142211914,-0.029321173205971718,0.032067835330963135,0.00014072151680011302,904.8090209960938
9.931425094604492,-0.026650138199329376,0.02995634824037552,0.00014057072985451669,904.8390502929688
9.900357246398926,-0.03028469905257225,0.03277640789747238,0.00020760006736963987,904.3290405273438
