px,py,pz,vx,vy,vz,roll,pitch,yaw,wx,wy,wz
4.977425824883341e-11,5.633689136154112e-08,0.07999999998505711,2.3331097465054447e-09,4.739545362957181e-10,0.00999999896670746,-8.059334964442169e-11,4.3715655947430976e-10,1.2828445106976096e-10,-8.34138395111327e-09,3.388591200409355e-08,-3.221335287097097e-09
-6.700756155839332e-05,5.63318175329473e-08,0.07995812025897994,-0.006704266606332947,-5.067770333419772e-10,-0.004182358609341938,1.6450384378502924e-11,-0.0008375946180043864,1.030024283312935e-10,9.703316720730611e-09,-0.08375951042149411,-2.530589570362308e-09
-4.674665903977808e-05,5.633233134341176e-08,0.0800292121723466,0.002030244985173731,5.117748975144107e-11,0.007108005953249231,-4.9810845643046745e-12,-0.0005844657312319955,8.299686903683601e-11,-2.1445694112602943e-09,0.025312888823462425,-2.0007005997607067e-09
-2.6485756099412865e-05,5.633273828213911e-08,0.0791203041315677,0.0019959747110958295,3.946935467893912e-11,-0.09089147040706014,1.1976872570093768e-11,-0.0003313368451407232,6.708610057099301e-11,1.695067157211356e-09,0.025312888744285878,-1.5911652343075571e-09
2.4716746572404035e-08,5.684558783516882e-08,0.08000000437598126,-2.2669883319201944e-09,3.8550366084816384e-10,0.009999998950846453,-6.645895165402011e-11,-4.81170557830808e-10,2.624165963247134e-08,-5.823091000649736e-09,-2.648369753336818e-08,-1.323192031507696e-09
2.2211957765346205e-08,5.685006952472961e-08,0.07943007739623266,-2.5139758079440356e-07,4.521475978911588e-10,-0.05699269797485634,-6.969416708365646e-11,-1.6119610638424435e-08,2.6281677733722163e-08,-3.2352115357553394e-10,-1.5638440084312608e-06,4.001810018593526e-09
2.3488395187646506e-08,5.6846315074009e-08,0.07999999999196267,-9.313600812927728e-10,2.6553729918356613e-10,0.009999999474610007,-4.683172555919109e-11,-2.1081677172720816e-10,2.631389101556374e-08,-5.731931502156198e-09,-1.633573840179042e-08,3.221328133297043e-09
2.889886082208907e-06,5.684404608475472e-08,0.07999820851474582,0.00028664618733327524,-2.3459690066386444e-10,-0.0001791374510311306,1.6540721471232153e-11,3.5829722920814207e-05,2.6339677067551866e-08,6.337214913332152e-09,0.0035829933744968823,2.5758723639907997e-09
3.1252511090298977e-06,5.684453267441763e-08,0.08000193852345291,2.3522040790723897e-05,4.7899085287981204e-11,0.00037300178324842627,-4.90429793802516e-12,3.8771690007097986e-05,2.6360279670411303e-08,-2.1445633477402684e-09,0.0002941967083202501,2.0629036070554547e-09
3.400349944765353e-06,5.6844891766375623e-08,0.08001967734035242,2.7441817681619354e-05,3.50727436292178e-11,0.001773882744230964,-6.25577726059384e-11,3.837114508670047e-05,2.637168598045901e-08,-5.765391488865779e-09,-4.005449203976123e-05,1.1406296529105217e-09
3.71675653786407e-06,5.684518970976309e-08,0.08007918359405813,3.142408130672116e-05,2.7377389448062113e-11,0.0059506265182183195,-2.659131370378093e-10,3.639583552237937e-05,2.637743779759496e-08,-2.033555794524337e-08,-0.0001975309564321737,5.751492716220975e-10
4.0732809497491005e-06,5.6845654302327e-08,0.08018133503812402,3.530868413890707e-05,4.05750664517677e-11,0.010215145600570998,-4.839723334865701e-10,3.3651705330105526e-05,2.63752506432115e-08,-2.1805911984613715e-08,-0.00027441301922765396,-2.188183273422074e-10
4.468472001837682e-06,5.6846529824328154e-08,0.08032834341580584,3.9092986523201296e-05,7.564028937167894e-11,0.014700838907507417,-7.394146796605245e-10,2.8986012622986115e-05,2.636432774120304e-08,-2.5544200407628946e-08,-0.0004665692707127873,-1.0925755977185302e-09
4.89764922849699e-06,5.6848029270675446e-08,0.08052103686457578,4.2468093128439395e-05,1.2774015387591008e-10,0.019269345873186353,-1.0936549733509437e-09,2.3333929031976246e-05,2.6340281687059277e-08,-3.542396646469988e-08,-0.0005652083591024906,-2.4051234467102513e-09
5.3551175332321435e-06,5.68504528267737e-08,0.08075927022148373,4.534224478015035e-05,2.0232970506909917e-10,0.02382333646426611,-1.629601646965695e-09,1.6982747170458033e-05,2.630469508592819e-08,-5.359459562479311e-08,-0.0006351181861539515,-3.559524907285196e-09
5.8342958461914444e-06,5.68543591593515e-08,0.08104254610032746,4.763063609787712e-05,3.2420646289773007e-10,0.028327588368725457,-2.3005324375532806e-09,1.0138356882969053e-05,2.625867893496162e-08,-6.709301665831742e-08,-0.0006844390287515606,-4.602960064837446e-09
6.327992840849666e-06,5.686043363666917e-08,0.0813705311620952,4.927352537971762e-05,5.053535283009176e-10,0.032798506321397906,-3.073328019686051e-09,2.9322703110304464e-06,2.6203015020149026e-08,-7.727952183516172e-08,-0.0007206086571969639,-5.56832770637197e-09
6.828552099420887e-06,5.686945346756335e-08,0.08174255816543187,5.022390980878531e-05,7.553626167530989e-10,0.037202700107266944,-3.905955683061657e-09,-4.515369869494376e-06,2.6138258983429917e-08,-8.32627714633241e-08,-0.0007447640180559019,-6.478202631647998e-09
7.328017706170574e-06,5.688222946230989e-08,0.08215728314882312,5.044815025164653e-05,1.0749612798164595e-09,0.04147249773201232,-4.854692436806918e-09,-1.2094510830003353e-05,2.6067335702638167e-08,-9.487373427587203e-08,-0.0007579140960544949,-7.095647988319188e-09
7.818290623183227e-06,5.6899718612920845e-08,0.08261336902877482,4.992657419429568e-05,1.4794768406272985e-09,0.04560858701961372,-5.8796826063610695e-09,-1.9717394072114392e-05,2.598970124326591e-08,-1.0249914044041736e-07,-0.0007622883242147539,-7.76753728069801e-09
8.291235701057861e-06,5.692295518047824e-08,0.08310992002125552,4.8651188195902756e-05,1.9772132014526952e-09,0.04965509793735117,-6.952325221746852e-09,-2.7322076619420413e-05,2.590500601833136e-08,-1.0726446073950372e-07,-0.0007604682547342127,-8.4744016584895e-09
