px,py,pz,vx,vy,vz,roll,pitch,yaw,wx,wy,wz
6.70323398522846e-05,5.4797201345795634e-08,0.07995812025898064,0.006704266606291092,-5.067871375469043e-10,-0.00418235860927426,1.6450261157072154e-11,0.0008375946179908361,2.6339170103418438e-08,9.703425337678794e-09,0.08375951042098029,2.5305851170276636e-09
4.677143733342653e-05,5.4797179412993775e-08,0.08002921217234577,-0.002030244985197795,5.117739025805426e-11,0.0071080059530969665,-4.9812098849706225e-12,0.0005844657312154784,2.6359175633479653e-08,-2.144569652127704e-09,-0.02531288882375889,2.0006976734265648e-09
2.6510534392819592e-05,5.4797050608594046e-08,0.07912030413156534,-0.001995974711121722,3.946928252551893e-11,-0.09089147040721232,1.1976745610887282e-11,0.00033133684512123997,2.637508637886989e-08,1.6950669948794793e-09,-0.0253128887445825,1.5911629235922538e-09
6.154845317286298e-11,5.5309199210759026e-08,0.08000000437598125,2.26698942206813e-09,3.855038854574691e-10,0.009999998950846328,-6.6459174115952e-11,4.811711578395798e-10,2.00512785561079e-10,-5.823094137834446e-09,2.6483715527239575e-08,1.3231891100478642e-09
7.923511647185093e-11,5.531366616851004e-08,0.07912000440262851,1.8354357153014625e-09,4.5280701196325055e-10,-0.08799999733527321,-6.944587874889685e-11,7.587430379379128e-10,1.6049812408509713e-10,-2.986704601418527e-10,2.7757188010763197e-08,-4.0014661457121904e-09
4.3762468237907525e-11,5.531178758534448e-08,0.07999999998736296,1.7001284915036114e-09,3.845968087408229e-10,0.0099999991949863,-7.0032369872195e-11,3.6200889079657963e-10,1.2828477083984402e-10,-7.223092238619155e-09,2.5964253087197785e-08,-3.2213352453959554e-09
-4.568572195948889e-09,4.621983264554231e-08,0.0800285670850376,-4.883269287557246e-07,-9.624140421841634e-07,0.0028567097455268597,-1.862931583367559e-05,9.484149408591177e-06,1.1756993211951995e-10,-0.0018629245801786878,0.0009483787399863804,7.762372875276235e-09
-1.1739486243100083e-08,4.439384294472595e-08,0.08025613694583382,-1.7231656199981635e-06,-1.5858603951473276e-06,0.022756985971157554,-6.166288557963606e-05,4.420946662318286e-05,-1.2036535224253058e-09,-0.004303356971713097,0.0034725317251177975,7.286262854705587e-09
1.6231380860985728e-08,1.0166894270656734e-07,0.08083306152709806,-3.735069737271822e-06,-1.946908421477321e-06,0.05769245832477591,-0.00013302290539504437,0.00011322374898579836,-8.106316311950086e-09,-0.007136001930232102,0.006901428277887137,-1.8461267244774937e-08
1.700195056464611e-07,3.09681177403675e-07,0.08181306344380815,-5.3597905844971055e-06,-2.2868239561284495e-06,0.09800019491203196,-0.00023559185787256362,0.00021161797704893516,-2.7001118996979543e-08,-0.01025689494985308,0.00983942300831767,-7.600196845921855e-08
5.840278347514616e-07,8.078305428724814e-07,0.0832385501785147,-6.785879248104809e-06,-3.132647201712694e-06,0.14254868799094106,-0.00037143510944708316,0.0003380368697802257,-6.703921688642146e-08,-0.013584324077985066,0.012641889952048362,-1.66825662178778e-07
1.4334557704773232e-06,1.7837361508075987e-06,0.08512878516514538,-8.046304915544498e-06,-4.730178003722424e-06,0.18902354271070412,-0.000541312227782963,0.0004919445409601623,-1.4017617191207405e-07,-0.016987708839325266,0.015390768938900146,-2.8975351137430104e-07
2.927324930672295e-06,3.467092500077337e-06,0.08747904984196281,-8.89121775305405e-06,-7.054422400650534e-06,0.23502657516858658,-0.0007462565055858509,0.0006734478435743219,-2.614868346975038e-07,-0.020494420783297104,0.01815033445504943,-4.4616366008378814e-07
5.315113395190985e-06,6.138249921729531e-06,0.09028734497993862,-9.090268651855022e-06,-1.014309772693427e-05,0.2808297420153858,-0.000987284983526498,0.0008826313551323163,-4.4907033659507573e-07,-0.02410283331601251,0.020918359785274687,-6.269249707903105e-07
8.88517069285159e-06,1.0128322078166805e-05,0.09355070084622329,-8.374015710511408e-06,-1.3655113730336642e-05,0.32633602544525897,-0.001264533041867413,0.0011196428587992567,-7.240589827351917e-07,-0.027724778481553948,0.023701166643939134,-8.135003084244661e-07
1.3962788436091154e-05,1.581718034857858e-05,0.09726381722300027,-6.354082094292672e-06,-1.6727382867758853e-05,0.37131242021755506,-0.001577146262322984,0.0013845914054720152,-1.1104032510188164e-06,-0.031261273925330124,0.02649488329548018,-9.89430254907643e-07
2.0908740924174065e-05,2.362991348310347e-05,0.10141921050959264,-2.325329320019782e-06,-1.834365763636243e-05,0.4155406432242482,-0.0019242848530517818,0.0016771424587001117,-1.6340124800149972e-06,-0.03471377926390245,0.02925515280755366,-1.1434396464408321e-06
3.0117026963490688e-05,3.403311894570543e-05,0.10600741641947145,4.904685302733969e-06,-1.7593814443938044e-05,0.45882269404752296,-0.0023057215840472877,0.001996249286100177,-2.321393546781516e-06,-0.038143547311092915,0.03191075760008246,-1.2466909347215213e-06
4.202036322928896e-05,4.754295389214551e-05,0.11102210753494411,1.6354302508788164e-05,-1.3784012859904202e-05,0.5014723436333133,-0.002721531842301606,0.0023410670433766383,-3.200808916473851e-06,-0.04158083570954504,0.03448188893259595,-1.2668315123351975e-06
5.707816312972532e-05,6.471371133423453e-05,0.11645431571577147,3.29078559375705e-05,-5.095513011458836e-06,0.5432256177796445,-0.0031702860466042548,0.00271134861897856,-4.3032522906776106e-06,-0.0448751426835193,0.03702832301154198,-1.1620851710711698e-06
7.577504571143861e-05,8.613417531476173e-05,0.12229328032254179,5.543276924215706e-05,1.1032165653302e-05,0.5839033804437317,-0.003649627137658777,0.003107121513175622,-5.66211840068307e-06,-0.04793371469769585,0.03957752433932972,-9.286694373991735e-07
9.862001999475084e-05,0.00011242219702291615,0.1285269904032034,8.540238109991422e-05,3.685104207440375e-05,0.6233807300319831,-0.0041579334901803286,0.0035277004376426647,-7.3096155488518555e-06,-0.05083008980504793,0.04205821709627689,-5.631985991659123e-07
0.00012614448598037117,0.0001442208059012911,0.13514255835835626,0.00012500334074036466,7.40678257082268e-05,0.6615701474961813,-0.004694635671715802,0.003971539532907489,-9.274308802896782e-06,-0.05366948275819878,0.044384346689404566,-1.0848391670299648e-08
0.00015889869841223758,0.0001821966773760747,0.1421264955027876,0.00017638517130344358,0.00012494137189984425,0.6984116864028453,-0.005258649653513482,0.004437282209613026,-1.1584089706480208e-05,-0.0564004285508939,0.0465748430943126,8.093400965586921e-07
0.0001974696112913488,0.00022706271884085624,0.14946979504268276,0.00024051507272866075,0.00019225977147033623,0.7343537249070723,-0.005847900058887709,0.004924870628128142,-1.4273042590829532e-05,-0.05892378352745581,0.04875958632747098,1.8816600126829344e-06
0.00024245593897538533,0.00027954552198560054,0.15716157030557062,0.0003184618804950772,0.0002797004489268921,0.7692084694284586,-0.006459495212764724,0.0054344201336586065,-1.737700074242319e-05,-0.06115790956082374,0.05095589930442347,3.17360215427498e-06
0.00029446873791223055,0.00034038064852635907,0.16518970853927462,0.00041225579422964184,0.00039002978245333364,0.8028535204850706,-0.007091765931190973,0.005965060045618708,-2.0925814405954008e-05,-0.06322505122809195,0.05306518152309956,4.671790302897805e-06
0.0003541299871242826,0.00041030995264901065,0.173541276672623,0.0005248424388935671,0.0005250722120386901,0.8352070685892912,-0.007744291970729003,0.006514968044681696,-2.4940666050806788e-05,-0.06525010101196135,0.054992269375428976,6.453298041407162e-06
0.0004220694925990741,0.0004900815411346336,0.18220282215124908,0.0006588972995654426,0.0006874373160850407,0.8662174016346592,-0.008415938011803048,0.00708268436268634,-2.9441928906322987e-05,-0.06716154632500416,0.05677342022455623,8.615127655021395e-06
0.0004989224739156685,0.0005804487554931337,0.19116059488834267,0.0008160943138222007,0.0008815584710513024,0.8958550145423003,-0.009103679525105,0.007667903641800402,-3.4457034766719545e-05,-0.06877045528589608,0.05852408069894229,1.1156629521306289e-05
0.0005853647224370321,0.0006822078095696955,0.20040541442047888,0.0009972329541829564,0.0011113296251562689,0.924577159551723,-0.009804612058301226,0.008270984795048461,-4.001965396476441e-05,-0.07008882313723387,0.060310684416278584,1.3933817377181207e-05
0.0006820703408667398,0.000796142089254166,0.20992644777407918,0.0012044886360656596,0.001379435087059956,0.9522188496017547,-0.010517225221077222,0.008891132260874523,-4.615223622066299e-05,-0.07125605695218,0.06201778213071702,1.6911952533502467e-05
0.0007897127211816631,0.000923022595524249,0.21971183220252652,0.001441234709106719,0.0016871934795212155,0.9786773808537659,-0.011241461886544428,0.009526437351941437,-5.286271589229435e-05,-0.07241749026224391,0.06353405581431575,2.0176787245508662e-05
0.000908963123248097,0.0010636106590359627,0.22974910104304266,0.0017105052125193482,0.002036705318831267,1.0038926438575377,-0.01197663113732677,0.010175325910375411,-6.0157986722704954e-05,-0.0735097420193365,0.06489295853129835,2.3838284544322608e-05
0.0010405341359433235,0.0012187118562857952,0.24002992602645534,0.002013305993438069,0.0024312044517725245,1.0282788203435942,-0.012720635621314888,0.010837831698969522,-6.806144291304188e-05,-0.07439214815343691,0.06625529359824792,2.7841564498508233e-05
0.001185124599853414,0.0013891080391084444,0.2505442403178269,0.002350448563783319,0.0028751520519356873,1.0516623372943283,-0.013470353096096847,0.011514399606997572,-7.660170287613164e-05,-0.07496220649335318,0.06766217979589378,3.207434918122636e-05
0.0013434241333842984,0.0015755569354771624,0.26128087383286325,0.002724076515240456,0.0033714252604490577,1.0739331564830275,-0.014224049670342645,0.012204406215854604,-8.579299771922464e-05,-0.07535876091887783,0.06900677943209234,3.6458760893710766e-05
0.0015161678475166217,0.0017788546384819794,0.2722323597883889,0.003137119743939467,0.003919937291552514,1.0954619766930704,-0.014982299000303437,0.012906249716826836,-9.563336162169008e-05,-0.07581258205143843,0.07019124306516365,4.102393999368808e-05
0.0017040150521247443,0.0019996987077527725,0.2833850518294145,0.0035933966440477995,0.004522282726628947,1.1156310415326243,-0.015744814306555204,0.013617975042939925,-0.0001061102516680562,-0.0762376401548354,0.0711802353914976,4.594696801425526e-05
0.001907620937280349,0.002238776080588387,0.29472564281835195,0.004094970067716667,0.005182128435542357,1.1344745700170822,-0.016509451193674682,0.014339005859101542,-0.00011722820048692334,-0.07644815172614175,0.07211164130300801,5.1223847093738816e-05
0.002127636052219172,0.0024967607301855884,0.3062411499387173,0.004642871213154065,0.0059043104272652625,1.1520252829514739,-0.01727293936673296,0.015069654166244012,-0.0001290050453666936,-0.07633150457355639,0.07307430578385975,5.6704427991361696e-05
