thrust,tau_x,tau_y,tau_z,arm_time
10.890337944030762,1.7122568252148085e-08,-2.2151443772600032e-05,1.8217994890434852e-09,5808.302734375
10.939671516418457,1.0937950101208571e-08,0.02949986234307289,1.4306873463709735e-09,3376.89892578125
10.903197288513184,1.494694323866952e-08,-0.008352300152182579,1.1307805802829307e-09,3376.373779296875
11.239762306213379,1.3683045807511007e-08,-0.008531087078154087,8.99084584560228e-10,4340.4775390625
10.896467208862305,1.6399821944901305e-08,-4.1772025724640116e-05,-4.7827515281539945e-09,4342.455078125
11.126378059387207,1.463055632200394e-08,-4.751424057758413e-05,-7.847502203617296e-09,4342.0830078125
10.89910888671875,1.6326694662893715e-08,-5.503555803443305e-05,-7.406346647087503e-09,4340.7294921875
10.934273719787598,1.2230358947817876e-08,-0.0013256461825221777,-7.0413341823893916e-09,3376.430908203125
10.933846473693848,1.5072924242076624e-08,-0.00020068639423698187,-6.752213899119397e-09,1924.0859375
10.931053161621094,1.6289401827407346e-08,-0.00010063526860903949,-6.226188453695158e-09,1924.661865234375
10.919164657592773,2.1171032926758926e-08,-5.946259625488892e-05,-5.901167998700885e-09,2441.901123046875
10.906244277954102,2.1805696803767205e-08,-4.409458415466361e-05,-5.445034201301269e-09,2408.8017578125
10.891911506652832,2.3209613786434602e-08,9.248302376363426e-06,-4.9410555647000365e-09,2893.0859375
10.877482414245605,2.6685071929932747e-08,3.2204363378696144e-05,-4.182652446615975e-09,2892.515869140625
10.862966537475586,3.299086870356405e-08,4.555299528874457e-05,-3.512560020624278e-09,2894.4599609375
10.84887409210205,3.7882720960169536e-08,5.1910654292441905e-05,-2.9041915539096408e-09,2410.889892578125
10.833964347839355,4.1784495863339544e-08,5.324500671122223e-05,-2.338122362388617e-09,2893.244873046875
10.819883346557617,4.4377785002325254e-08,5.0285860197618604e-05,-1.8024264303306836e-09,2410.8779296875
10.805365562438965,4.890208415986308e-08,4.279638233128935e-05,-1.4328447317524251e-09,2893.7041015625
10.791885375976562,5.220476850809064e-08,3.191603173036128e-05,-1.0309739728597833e-09,2411.81689453125
10.778289794921875,5.463536467686936e-08,1.8012928194366395e-05,-6.073928027205966e-10,2409.80078125
10.765020370483398,5.6528872249828055e-08,2.1544983610510826e-06,-4.599212954925491e-10,2412.458984375
10.752120971679688,5.5381548236255185e-08,-1.4898774679750204e-05,-3.535607917548589e-10,2410.10986328125
10.739584922790527,5.41546576471319e-08,-3.2802956411615014e-05,-1.3016678013233474e-10,2411.645751953125
10.727408409118652,5.466326413738898e-08,-5.1605020416900516e-05,2.6978924302922813e-11,2410.9619140625
10.715587615966797,5.1715186799583535e-08,-7.129117147997022e-05,1.393675452820986e-10,2411.322021484375
10.70411491394043,4.811859355413617e-08,-9.144723298959434e-05,3.6613681531072473e-10,2411.091064453125
10.692859649658203,4.341315573697102e-08,-0.00011192727833986282,6.699074073246436e-10,2412.1708984375
10.681976318359375,3.9449616906495066e-08,-0.00013191250036470592,8.809828977440759e-10,2411.715087890625
10.671451568603516,3.5418626254113406e-08,-0.0001515720214229077,1.0297153130167658e-09,2411.07275390625
10.661272048950195,3.061677134041929e-08,-0.00017128605395555496,1.136589600214677e-09,2412.6240234375
10.651427268981934,2.2454491599432913e-08,-0.00019106699619442225,1.3595491399343018e-09,2411.3369140625
10.641799926757812,1.1098393315478461e-08,-0.00021102261962369084,1.6607734076856673e-09,2411.828857421875
10.632804870605469,-3.3685521039217292e-09,-0.00022760359570384026,1.7264311091835793e-09,1926.4619140625
10.623452186584473,-2.0906336217763055e-08,-0.00024937550188042223,1.634110624593177e-09,2444.723876953125
10.61502456665039,-3.950256655116391e-08,-0.0002642705221660435,1.579094632830902e-09,1925.8919677734375
10.606722831726074,-6.011396180838346e-08,-0.00028193500475026667,1.5489849403138578e-09,1959.2279052734375
10.598647117614746,-8.344035506979708e-08,-0.0002998500131070614,1.5356644844644052e-09,1926.9208984375
10.590838432312012,-1.0991092125323121e-07,-0.0003172891738358885,1.5335781533565296e-09,1925.7750244140625
10.583303451538086,-1.3766238282642007e-07,-0.0003339771064929664,1.3957429656485942e-09,1926.2369384765625
10.576042175292969,-1.6976520100797643e-07,-0.0003500354359857738,1.309245156733141e-09,1959.1739501953125
10.569047927856445,-2.024876266659703e-07,-0.00036594137782230973,1.2574628005523891e-09,1926.8338623046875
10.562317848205566,-2.3766757806242822e-07,-0.0003821093705482781,1.2289536055476447e-09,1924.9530029296875
10.555845260620117,-2.764054727322218e-07,-0.00039831065805628896,1.2160056295229538e-09,1925.6009521484375
10.54955768585205,-3.1914404985400324e-07,-0.00041435559978708625,1.213442790692909e-09,1959.7769775390625
10.543532371520996,-3.6412185977496847e-07,-0.0004293946549296379,1.0748746337441162e-09,1926.7020263671875
10.537760734558105,-4.107280062726204e-07,-0.00044381245970726013,9.870489980912112e-10,1925.6009521484375
10.532234191894531,-4.612971338247007e-07,-0.0004583199042826891,9.335976436375404e-10,1960.0289306640625
10.526947021484375,-5.154427640263748e-07,-0.00047325133346021175,1.0458512944566678e-09,1925.22900390625
10.521890640258789,-5.723119897993456e-07,-0.0004881442291662097,1.127209103835014e-09,1927.4969482421875
10.517058372497559,-6.328829158519511e-07,-0.0005022104596719146,1.1873809713236483e-09,1925.71484375
10.512895584106445,-6.962308134461637e-07,-0.0005214530392549932,1.0903402625217495e-09,2445.662841796875
10.508232116699219,-7.626242677361006e-07,-0.000528405886143446,1.0301153263725382e-09,1926.2459716796875
10.504430770874023,-8.335084089594602e-07,-0.000547517673112452,8.512771043633904e-10,2444.909912109375
