px,py,pz,vx,vy,vz,roll,pitch,yaw,wx,wy,wz
-2.3509453021782708e-48,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.99999375000863e-08,0.0,0.20000774997565118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.5999800001083488e-07,0.0,0.20003099961042192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.399848126850883e-07,0.0,0.2000697480277931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.2799360013866147e-06,0.0,0.20012399376699697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.499804694112193e-06,0.0,0.20019373478315994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.319514023692046e-06,0.0,0.20027896844750992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.858949632198461e-06,0.0,0.2003796915476317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0237952177484663e-05,0.0,0.20049590028779107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.45763098422831e-05,0.0,0.200627590289308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.9993750846288048e-05,0.0,0.20077475659099386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.6609935961648692e-05,0.0,0.2009373936496428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.4544451032298187e-05,0.0,0.20111549534058093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.391679949754618e-05,0.0,0.2013090549582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.4846394920349416e-05,0.0,0.20151806521700877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.745255352071081e-05,0.0,0.20174251825157863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.185448671459887e-05,0.0,0.20198240561810343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9.817129365883567e-05,0.0,0.20223771829484916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00011652195380236827,0.0,0.20250844668312418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00013702531944434837,0.0,0.2027945806082343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00015980010829944426,0.0,0.20309610932049238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00018496489607081152,0.0,0.20341302149628238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002126381090311184,0.0,0.20374530523918621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00024293801661211538,0.0,0.20409294808116107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0002759827240030806,0.0,0.20445593698377817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0003118901647586294,0.0,0.20483425833951463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0003507780934162814,0.0,0.2052278979731028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00039276407812420923,0.0,0.2056368411429379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00043796549327959015,0.0,0.2060610725425367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0004864995121779757,0.0,0.20650057630205687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0005384830996741116,0.0,0.20695533598986993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0005940330048545647,0.0,0.20742533461418922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0006532657537227162,0.0,0.20791055462475483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0007162976418963532,0.0,0.20841097791456975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0007832447273184062,0.0,0.2089265858216982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0008542228229812026,0.0,0.20945735913110952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0009293474896646457,0.0,0.21000327807658503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0010087340286887476,0.0,0.21056432234267275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0010924974746809282,0.0,0.21114047106670042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0011807525883584153,0.0,0.21173170284083875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0012736138493263701,0.0,0.21233799571422285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0013711954488918566,0.0,0.21295932719512223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0014736112828942836,0.0,0.21359567425316728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.001580974944552641,0.0,0.21424701332162654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0016933997173299456,0.0,0.21491332029973775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.001810998567815312,0.0,0.21559457055509212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0019338841386240696,0.0,0.21629073892606576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0020621687413161964,0.0,0.21700179972431166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0021959643493338053,0.0,0.21772772673729412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0023353825909576504,0.0,0.2184684932308807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0024805347422833706,0.0,0.21922407195198046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.002631531720217748,0.0,0.21999443513123795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0027884840754954098,0.0,0.22077955448577313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0029515019857163376,0.0,0.22157940122197273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003120695248404633,0.0,0.22239394603833174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0032961732740889142,0.0,0.22322315912834512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0034780450794045805,0.0,0.224067010183445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0036664192802188036,0.0,0.2249254683959918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.003861404084777993,0.0,0.2257985024623097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.004063107286878619,0.0,0.22668608058577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.004271636259061588,0.0,0.22758817047992763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.004487097945830565,0.0,0.2285047393716959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.004709598856894659,0.0,0.2294357540045775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0049392450604359055,0.0,0.2303811806419358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.005176142176401626,0.0,0.23134098507031386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.005420395369822733,0.0,0.2323151326028019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.005672109344157488,0.0,0.23330358808244722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.005931388334661747,0.0,0.23430631588571016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0061983361017857765,0.0,0.23532327992596436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0064730559245981135,0.0,0.23635444365704372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.006755650594236795,0.0,0.2373997700768291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.007046222407388416,0.0,0.23845922173088252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.007344873159795052,0.0,0.2395327607161204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.007651704139790212,0.0,0.24062034868453486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.007966816121863148,0.0,0.2417219468469518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.008290309360252648,0.0,0.2428375159768339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00862228358257041,0.0,0.24396701641412544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.008962837983454331,0.0,0.24511040806913398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.009312071218252208,0.0,0.24626765042645848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.009670081396736042,0.0,0.24743870254895195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0100369660768475,0.0,0.24862352308172997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.010412822258474452,0.0,0.24982207025620973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.010797746377259918,0.0,0.2510343018941954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.011191834298442456,0.0,0.2522601754120002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.011595181310729358,0.0,0.2534996478246021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.012007882120202585,0.0,0.2547526757498426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01243003084425786,0.0,0.25601921541265704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01286172100557727,0.0,0.25729922264934557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01330304552613579,0.0,0.25859265291187716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.013754096721241598,0.0,0.2598994612722296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.014214966293611719,0.0,0.26121960242676656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.014685745327481748,0.0,0.26255303070064495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.015166524282751137,0.0,0.26389970005226027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01565739298916402,0.0,0.2652595640777211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01615844064052581,0.0,0.2666325760153614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.016669755788956044,0.0,0.268018688750282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.017191426339177866,0.0,0.26941785481892255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.017723539542843864,0.0,0.2708300264136678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.01826618199290002,0.0,0.2722551553874859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.018819439617986225,0.0,0.27369319325859065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.019383397676875108,0.0,0.2751440912151406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.019958140752948855,0.0,0.27660780011996233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.020543752748714526,0.0,0.2780842705153057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.02114031688035811,0.0,0.279573452627625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.021747915672337612,0.0,0.2810752963723888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.022366630952015774,0.0,0.2825897513589144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.022996543844331755,0.0,0.28411676689523624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.023637734766513985,0.0,0.28565629199298903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.024290283422832317,0.0,0.28720827537232463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.024954268799391093,0.0,0.2887726654668519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.02562976915896321,0.0,0.29034941042859863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.026316862035865266,0.0,0.2919384581329987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.027015624230874308,0.0,0.2935397561839044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.027726131806185772,0.0,0.29515325191861486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.028448460080414743,0.0,0.2967788924129351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.029182683623638156,0.0,0.29841662448624895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.02992887625248054,0.0,0.30006639470661844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
